id,usuario_id,proveedor_id,nombre,localidad_id,latitud,longitud,direccion,imagen_cartel,medidas,fecha_actualizacion,altura,largo,metros_cuadrados,metros_cuadrados_precio
53,3,2,Nuevas viviendas,1,-26.2123957,-58.2315656,ROTONDA AEROPUERTO,carteles/giglio_20.png,,,,,,
54,3,2,Acuaductos,1,-26.1567083,-58.1857109,ROTONDA DE LA VIRGEN,carteles/giglio_21.png,,,,,,
55,3,2,Fiesta nacional de la corvina,1,-26.1131322,-58.2301172,RUTA 11 CRUCE CON RUTA 81,carteles/giglio_22.png,,,,,,
58,4,3,Facultad,1,-26.1929475,-58.1987014,ACCESO FRENTE A LA UNIVERSIDAD,carteles/solis_3.png,,,,,,
59,4,3,Vota por bañado la estrella,1,-26.1805525,-58.163325,COSTANERA-ACCESO AL CLUB NÁUTICO,carteles/solis_4.png,,,,,,
60,4,3,Plan 100 obras para la provincia,1,-26.1865707,-58.175233,PLAZA SAN MARTÍN-SARMIENTO Y JOSE M.URIBURU,carteles/solis_5.png,,,,,,
61,4,3,100 obras provincia de formosa,1,-26.1727699,-58.1795254,PLAZA TEMÁTICA - 2 CARTELES - AV JJUAN  D. PERÓN y MONSEÑOR SCOZZINA,carteles/solis_6.png,,,,,,
62,4,3,Fiesta nacional de la corvina,1,-26.1855494,-58.1756268,TOTEMS 25 DE MAYO - 22 LONAS - 11 TÓTEMS DESDE SARMIENTO HASTA RIVADAVIA,carteles/solis_7.png,,,,,,
63,4,3,En formosa no se rinde nadie,1,-26.1986263,-58.2446993,Bº NUEVA FORMOSA - PLAZA NÉSTOR KIRCHNER,carteles/solis_8.png,,,,,,
64,4,3,Felices fiestas,1,-26.1519524,-58.1618926,Bº REPÚBLICA ARGENTINA - SOMACAL Y AV. MARADONA,carteles/solis_9.png,,,,,,
65,4,3,Todos unidos,1,-26.1937472,-58.1710685,LAGUNA OCA - AV 9 DE JULIO y AV NAPOLEÓN URIBURU,carteles/solis_10.png,,,,,,
66,4,3,Consejos covid,7,-25.320236,-57.733147,AV SAN MARTIN Y LIBERTAD,carteles/solis_11.png,,,,,,
67,4,3,Fiesta nacional de la corvina,7,-25.321015,-57.733244,SOBRE RUTA Nº 11,carteles/solis_12.png,,,,,,
68,4,3,107,8,-26.400764,-58.346042,Me lo ocuparon – GILDO EVER,carteles/solis_13.png,,,,,,
69,4,3,Gracias por la visita,8,-26.404017,-58.343055,Lo colocamos nosotros – FSA HERMOSA,carteles/solis_14.png,,,,,,
70,4,3,Soberania energetica,8,-26.482359,-58.308957,Me lo ocuparon – SOBERANIA ENERGETICA,carteles/solis_15.png,,,,,,
